id_transaccion,id_cliente_origen,id_cliente_destino,tipo_transaccion,monto,fecha_hora,etiqueta_lavado
TX-0005449,CLI-00837,SISTEMA,RETIRO_CAJERO,8953.14,2026-05-13 12:21:22,0
TX-0026872,CLI-04140,SISTEMA,DEPOSITO_EFECTIVO,4363.48,2026-05-13 12:21:22,0
TX-0003440,CLI-00521,CLI-02424,SPEI_ENVIADO,3407.94,2026-05-13 12:22:22,0
TX-0025692,CLI-03963,CLI-04670,SPEI_ENVIADO,624.35,2026-05-13 12:25:22,0
TX-0018049,CLI-02793,CLI-03016,SPEI_ENVIADO,89.37,2026-05-13 12:25:22,0
TX-0009502,CLI-01460,SISTEMA,SPEI_RECIBIDO,30897.86,2026-05-13 12:27:22,0
TX-0011218,CLI-01727,SISTEMA,SPEI_RECIBIDO,241.23,2026-05-13 12:27:22,0
TX-0028908,CLI-04451,SISTEMA,SPEI_RECIBIDO,11761.95,2026-05-13 12:29:22,0
TX-0022176,CLI-03430,SISTEMA,DEPOSITO_EFECTIVO,243.19,2026-05-13 12:30:22,0
TX-0014225,CLI-02203,SISTEMA,RETIRO_CAJERO,473.05,2026-05-13 12:30:22,0
TX-0001459,CLI-00219,SISTEMA,SPEI_RECIBIDO,790.02,2026-05-13 12:32:22,0
TX-0012820,CLI-01981,CLI-01527,SPEI_ENVIADO,268.88,2026-05-13 12:33:22,0
TX-0020994,CLI-03249,SISTEMA,DEPOSITO_EFECTIVO,396.49,2026-05-13 12:34:22,0
TX-0007581,CLI-01167,SISTEMA,RETIRO_CAJERO,555.37,2026-05-13 12:35:22,0
TX-0003032,CLI-00461,SISTEMA,RETIRO_CAJERO,100.57,2026-05-13 12:35:22,0
TX-0010605,CLI-01632,SISTEMA,COMPRA_TARJETA,509.69,2026-05-13 12:35:22,0
TX-0030781,CLI-04736,SISTEMA,RETIRO_CAJERO,11784.38,2026-05-13 12:35:22,0
TX-0014437,CLI-02238,SISTEMA,DEPOSITO_EFECTIVO,2898.88,2026-05-13 12:37:22,0
TX-0018543,CLI-02868,SISTEMA,RETIRO_CAJERO,2833.25,2026-05-13 12:39:22,0
TX-0005065,CLI-00782,SISTEMA,RETIRO_CAJERO,477.71,2026-05-13 12:39:22,0
TX-0008028,CLI-01236,SISTEMA,COMPRA_TARJETA,5106.62,2026-05-13 12:39:22,0
TX-0018948,CLI-02930,CLI-02875,SPEI_ENVIADO,16260.73,2026-05-13 12:40:22,0
TX-0003183,CLI-00483,SISTEMA,DEPOSITO_EFECTIVO,583.82,2026-05-13 12:41:22,0
TX-0011064,CLI-01704,CLI-01599,SPEI_ENVIADO,159.58,2026-05-13 12:42:22,0
TX-0007540,CLI-01161,SISTEMA,RETIRO_CAJERO,725.79,2026-05-13 12:43:22,0
TX-0003048,CLI-00463,SISTEMA,RETIRO_CAJERO,10525.28,2026-05-13 12:45:22,0
TX-0010118,CLI-01554,SISTEMA,COMPRA_TARJETA,8506.81,2026-05-13 12:47:22,0
TX-0013338,CLI-02065,CLI-01419,SPEI_ENVIADO,666.39,2026-05-13 12:48:22,0
TX-0031106,CLI-04786,SISTEMA,COMPRA_TARJETA,11654.49,2026-05-13 12:49:22,0
TX-0027970,CLI-04307,SISTEMA,DEPOSITO_EFECTIVO,131.37,2026-05-13 12:51:22,0
TX-0011256,CLI-01733,CLI-00037,SPEI_ENVIADO,134.45,2026-05-13 12:51:22,0
TX-0019558,CLI-03033,SISTEMA,RETIRO_CAJERO,14171.01,2026-05-13 12:52:22,0
TX-0012891,CLI-01993,CLI-02226,SPEI_ENVIADO,3669.02,2026-05-13 12:54:22,0
TX-0025145,CLI-03881,CLI-03172,SPEI_ENVIADO,507.31,2026-05-13 12:55:22,0
TX-0022055,CLI-03408,SISTEMA,COMPRA_TARJETA,4785.58,2026-05-13 12:56:22,0
TX-0005267,CLI-00812,CLI-04859,SPEI_ENVIADO,1477.22,2026-05-13 12:57:22,0
TX-0005311,CLI-00818,SISTEMA,COMPRA_TARJETA,4045.8,2026-05-13 12:57:22,0
TX-0029691,CLI-04570,SISTEMA,DEPOSITO_EFECTIVO,1497.59,2026-05-13 12:57:22,0
TX-0008590,CLI-01318,SISTEMA,RETIRO_CAJERO,4074.1,2026-05-13 12:58:22,0
TX-0007015,CLI-01082,SISTEMA,SPEI_RECIBIDO,26917.52,2026-05-13 12:58:22,0
